Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_desocupada_abierta,Poblacion_Economicamente_Activa,Tasa_de_desocupacion,,
2015,4,Nacional,Hombres,1317182,32581465,4.042734113,,
2015,4,Nacional,Mujeres,886369,20415619,4.341621971,,
2015,4,Aguascalientes,Hombres,15822,341639,4.631204283,,
2015,4,Aguascalientes,Mujeres,6548,208512,3.140346839,,
2015,4,Baja California,Hombres,41580,996207,4.173831342,,
2015,4,Baja California,Mujeres,19579,624941,3.132935749,,
2015,4,Baja California Sur,Hombres,8862,208856,4.243114873,,
2015,4,Baja California Sur,Mujeres,5896,136941,4.30550383,,
2015,4,Campeche,Hombres,7654,244882,3.125587017,,
2015,4,Campeche,Mujeres,3980,139840,2.84610984,,
2015,4,Coahuila,Hombres,30341,805314,3.767598725,,
2015,4,Coahuila,Mujeres,24669,488066,5.054439359,,
2015,4,Colima,Hombres,7748,198597,3.901368097,,
2015,4,Colima,Mujeres,6790,143555,4.729894466,,
2015,4,Chiapas,Hombres,42376,1382471,3.065236088,,
2015,4,Chiapas,Mujeres,20585,570700,3.606973892,,
2015,4,Chihuahua,Hombres,33626,985180,3.413183378,,
2015,4,Chihuahua,Mujeres,19466,577725,3.369423168,,
2015,4,Ciudad de México,Hombres,126439,2582091,4.896767775,,
2015,4,Ciudad de México,Mujeres,110424,1937829,5.698335612,,
2015,4,Durango,Hombres,18016,480506,3.749380861,,
2015,4,Durango,Mujeres,12192,283399,4.302061757,,
2015,4,Guanajuato,Hombres,69567,1540049,4.517193933,,
2015,4,Guanajuato,Mujeres,45121,1019808,4.424460291,,
2015,4,Guerrero,Hombres,15940,860877,1.851600171,,
2015,4,Guerrero,Mujeres,13594,547451,2.48314461,,
2015,4,Hidalgo,Hombres,24546,784115,3.130408167,,
2015,4,Hidalgo,Mujeres,17638,517622,3.407505863,,
2015,4,Jalisco,Hombres,81176,2197206,3.69451021,,
2015,4,Jalisco,Mujeres,75572,1467232,5.150651022,,
2015,4,México,Hombres,238613,4471478,5.336333982,,
2015,4,México,Mujeres,161760,2875897,5.624679882,,
2015,4,Michoacán,Hombres,38371,1190822,3.222228007,,
2015,4,Michoacán,Mujeres,21403,709241,3.017733041,,
2015,4,Morelos,Hombres,17618,467294,3.770217465,,
2015,4,Morelos,Mujeres,6531,307734,2.12228743,,
2015,4,Nayarit,Hombres,14802,331284,4.468069692,,
2015,4,Nayarit,Mujeres,10278,223772,4.593067944,,
2015,4,Nuevo León,Hombres,55387,1513914,3.658530141,,
2015,4,Nuevo León,Mujeres,40497,892524,4.537356979,,
2015,4,Oaxaca,Hombres,28269,997579,2.833760534,,
2015,4,Oaxaca,Mujeres,16538,662265,2.497187682,,
2015,4,Puebla,Hombres,44299,1670790,2.651380485,,
2015,4,Puebla,Mujeres,37940,1050054,3.613147514,,
2015,4,Querétaro,Hombres,29784,547108,5.443897731,,
2015,4,Querétaro,Mujeres,10500,336454,3.120783227,,
2015,4,Quintana Roo,Hombres,16051,498558,3.219484995,,
2015,4,Quintana Roo,Mujeres,14610,320711,4.555503241,,
2015,4,San Luis Potosí,Hombres,20788,726486,2.861445369,,
2015,4,San Luis Potosí,Mujeres,11494,442115,2.599776076,,
2015,4,Sinaloa,Hombres,33842,815992,4.147344582,,
2015,4,Sinaloa,Mujeres,21155,512471,4.128038465,,
2015,4,Sonora,Hombres,30799,785148,3.922699924,,
2015,4,Sonora,Mujeres,31206,541814,5.759541097,,
2015,4,Tabasco,Hombres,47771,607049,7.86938122,,
2015,4,Tabasco,Mujeres,23567,349347,6.746014707,,
2015,4,Tamaulipas,Hombres,37662,911291,4.132818167,,
2015,4,Tamaulipas,Mujeres,28524,620525,4.59675275,,
